respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
564,1-5,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,I don't know,None did,Some of them,No,No,Very open,"Yes, I observed",Yes,Yes,Never
565,100-500,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Very open,"Yes, I experienced",Yes,Yes,Always
566,6-25,1,Yes,Yes,No,No,No,Very difficult,Yes,Yes,Maybe,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Not open at all,Maybe/Not sure,No response,I don't know,Never
567,1-5,1,I don't know,No,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Somewhat open,No,Not applicable,No,Always
568,26-100,1,I don't know,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,I don't know,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat not open,No,Not applicable,I don't know,Always
569,More than 1000,1,Yes,No,No,I don't know,Yes,Very difficult,Maybe,No,No,No,No,1,1,I don't know,N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Yes,No,Not open at all,"Yes, I experienced",No,Yes,Sometimes
570,More than 1000,1,Yes,I am not sure,Yes,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,0,1,I don't know,N/A (not currently aware),Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,Somewhat open,"Yes, I experienced",Yes,Yes,Sometimes
571,1-5,1,I don't know,No,No,I don't know,No,Very difficult,Maybe,Maybe,No,No,No,1,1,"No, none did","Yes, I was aware of all of them",None did,Some did,No,Some of them,"Yes, all of them","No, at none of my previous employers",I don't know,None did,Some of them,Maybe,Yes,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,I don't know,Always
572,More than 1000,0,I don't know,No,No,No,I don't know,Very difficult,Maybe,Maybe,No,Yes,No,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,Never
573,6-25,0,No,Not applicable,No,No,I don't know,Somewhat difficult,Maybe,No,Yes,No,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,Maybe/Not sure,Maybe,Yes,Sometimes
574,1-5,0,I don't know,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,No,No,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Not applicable to me (I do not have a mental illness),No response,No response,Yes,Sometimes
575,26-100,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,Maybe,No,Neutral,"Yes, I observed",Maybe,I don't know,Never
576,26-100,1,No,Not applicable,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,No,0,1,"No, none did","No, I only became aware later",None did,None did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Maybe,No,Sometimes
577,100-500,1,No,Not applicable,Yes,Yes,No,Somewhat easy,Yes,No,No,Yes,I don't know,1,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,Maybe,Somewhat not open,"Yes, I experienced",Maybe,No,Never
578,6-25,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Yes,No,Not open at all,No,Not applicable,I don't know,Never
579,6-25,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Yes,I don't know,Sometimes
580,6-25,0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,No,No,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,Somewhat open,No,Not applicable,No,Always
581,500-1000,0,Yes,I am not sure,Yes,Yes,No,Very difficult,Yes,No,Maybe,No,No,0,1,"No, none did","No, I only became aware later",None did,Some did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not open at all,Maybe/Not sure,No response,No,Never
582,More than 1000,1,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,0,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did",Sometimes,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",Some of them,Yes,Yes,Very open,No,Not applicable,Yes,Always
583,More than 1000,0,Not eligible for coverage / N/A,Not applicable,No,Yes,I don't know,Very difficult,Yes,No,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Not open at all,Maybe/Not sure,No,I don't know,Never
584,1-5,1,No,Not applicable,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Very open,No,Not applicable,Yes,Always
585,More than 1000,0,No,Not applicable,Yes,Yes,Yes,Somewhat difficult,No,No,Yes,Maybe,No,0,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Never
586,100-500,1,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,"No, I only became aware later",None did,Some did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,No,Somewhat not open,"Yes, I experienced",No,Yes,Always
587,100-500,1,I don't know,I am not sure,Yes,I don't know,I don't know,Very easy,No,No,Yes,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Neutral,No,Not applicable,No,Never
588,26-100,1,Yes,Yes,Yes,No,No,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,No,Neutral,Maybe/Not sure,No,No,Never
589,26-100,1,No,Not applicable,Yes,No,I don't know,I don't know,Yes,Yes,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,Maybe/Not sure,No,Yes,Always
590,26-100,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,0,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,No,Somewhat open,No response,No response,Yes,Sometimes
591,More than 1000,0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,0,1,Some did,I was aware of some,None did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Somewhat not open,Maybe/Not sure,Yes,Yes,Sometimes
592,More than 1000,0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat not open,No,Not applicable,Yes,Never
593,1-5,1,No,Not applicable,I don't know,I don't know,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,I don't know,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,Maybe,Somewhat not open,Maybe/Not sure,Yes,I don't know,Always
594,More than 1000,0,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Neutral,No,Not applicable,Yes,Never
595,More than 1000,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Maybe,No,No,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Somewhat open,Maybe/Not sure,No response,Yes,Never
596,100-500,1,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,Yes,0,1,I don't know,I was aware of some,None did,None did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Very open,"Yes, I observed",Yes,No,Always
597,500-1000,1,Not eligible for coverage / N/A,Not applicable,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,I don't know,Always
598,More than 1000,0,Yes,I am not sure,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Very open,"Yes, I observed",No,I don't know,Sometimes
599,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,"Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Yes,Somewhat open,"Yes, I observed",Maybe,No,Always
600,6-25,1,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Sometimes
601,26-100,1,Yes,Yes,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Sometimes
602,100-500,1,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,No,Somewhat open,"Yes, I observed",Yes,Yes,Always
603,More than 1000,1,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Yes,No,0,1,"Yes, they all did",I was aware of some,Some did,"Yes, they all did","Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
604,More than 1000,0,No,Not applicable,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,1,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",No,No,Somewhat not open,"Yes, I experienced",Yes,Yes,Never
605,6-25,1,No,Not applicable,No,No,No,Very easy,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,"Yes, they all did",None of them,No,Yes,Neutral,No,Not applicable,No,Always
606,More than 1000,1,Yes,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,1,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,"Yes, I experienced",Yes,Yes,Always
607,More than 1000,0,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Maybe,Yes,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
608,6-25,1,Not eligible for coverage / N/A,Not applicable,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Not applicable,I don't know,Sometimes
609,More than 1000,0,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No,No,No,No,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,No,Somewhat open,"Yes, I experienced",No response,Yes,Never
610,More than 1000,0,I don't know,I am not sure,Yes,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,0,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers",Some of my previous employers,I don't know,None of them,Yes,Yes,Very open,Maybe/Not sure,No,No,Never
611,26-100,1,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,No response,No response,I don't know,Sometimes
612,26-100,1,Yes,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe,Maybe,No,No,0,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",Maybe,No,Somewhat open,"Yes, I observed",Yes,I don't know,Sometimes
613,6-25,1,Yes,Yes,Yes,No,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Yes,Yes,Somewhat open,"Yes, I observed",No,No,Sometimes
614,100-500,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,0,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Somewhat open,"Yes, I experienced",Maybe,I don't know,Sometimes
615,100-500,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,0,1,"Yes, they all did","No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Somewhat not open,No,Not applicable,I don't know,Sometimes
616,More than 1000,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,Yes,Maybe,Very open,Maybe/Not sure,Maybe,No,Sometimes
617,26-100,1,No,Not applicable,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Somewhat not open,No,Not applicable,Yes,Sometimes
618,6-25,1,Yes,No,No,No,I don't know,I don't know,No,No,Yes,Yes,Yes,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No,Not applicable,Yes,Always
619,100-500,1,Not eligible for coverage / N/A,Not applicable,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Not applicable to me (I do not have a mental illness),No,Not applicable,Yes,Never
620,500-1000,1,Not eligible for coverage / N/A,Not applicable,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Very open,No,Not applicable,No,Never
621,100-500,1,Yes,Yes,No,I don't know,I don't know,I don't know,Yes,No,No,No,I don't know,0,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,Neutral,Maybe/Not sure,Maybe,Yes,Sometimes
622,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Yes,Yes,I don't know,1,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Very open,"Yes, I observed",No,Yes,Sometimes
623,100-500,1,Yes,Yes,No,Yes,No,Somewhat easy,Maybe,Maybe,No,No,I don't know,1,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,"Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Yes,Somewhat open,"Yes, I observed",Yes,Yes,Always
624,More than 1000,0,Yes,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No,Maybe,No,No,0,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Somewhat not open,Maybe/Not sure,Yes,Yes,Never
625,1-5,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,0,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Somewhat not open,No,Not applicable,I don't know,Sometimes
626,More than 1000,0,Yes,No,No,Yes,I don't know,I don't know,Maybe,No,No,No,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,Somewhat open,No,Not applicable,No,Never
627,100-500,1,Yes,Yes,No,No,I don't know,Very easy,No,No,Yes,Yes,No,1,1,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,"Yes, I observed",No,Yes,Always
628,6-25,1,No,Not applicable,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,I don't know,Sometimes
629,More than 1000,1,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No,Maybe,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Not open at all,No,Not applicable,No,Sometimes
630,More than 1000,1,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Very open,No,Not applicable,No,Sometimes
631,6-25,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,Yes,0,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,Not open at all,"Yes, I observed",Yes,Yes,Sometimes
632,100-500,1,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Maybe,Very open,"Yes, I experienced",No,Yes,Always
633,100-500,1,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Maybe,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,No,Not open at all,No,Not applicable,I don't know,Sometimes
634,26-100,1,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not open at all,Maybe/Not sure,No,No,Sometimes
635,More than 1000,1,Yes,Yes,I don't know,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,Yes,0,1,Some did,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,Somewhat not open,"Yes, I observed",Yes,Yes,Always
636,100-500,1,I don't know,I am not sure,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,0,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,Somewhat open,No,Not applicable,No,Always
637,100-500,1,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,1,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Yes,No,Very open,Maybe/Not sure,No,Yes,Always
638,6-25,0,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No,Maybe,No,I don't know,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,No,Somewhat open,"Yes, I observed",Yes,No,Sometimes
639,26-100,1,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,No,No,No,0,1,Some did,I was aware of some,Some did,Some did,"Yes, always","Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,No,No,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,No,Never
640,6-25,1,No,Not applicable,No,No,I don't know,Neither easy nor difficult,Yes,Maybe,No,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,Somewhat open,"Yes, I observed",Yes,No,Sometimes
641,100-500,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,1,1,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,Yes,Yes,Always
642,More than 1000,1,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Yes,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Somewhat open,Maybe/Not sure,No,I don't know,Sometimes
643,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Somewhat difficult,Yes,Yes,No,Yes,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat not open,"Yes, I experienced",Yes,No,Never
644,26-100,0,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,1,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,"Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,Yes,Yes,Sometimes
645,100-500,1,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,No,1,1,Some did,I was aware of some,None did,None did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Very open,"Yes, I experienced",No response,Yes,Always
646,100-500,0,No,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,0,1,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,Somewhat open,No response,No response,Yes,Sometimes
647,1-5,1,No,Not applicable,No,No,No,Very easy,No,Maybe,Maybe,No,I don't know,1,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Yes,Very open,No,Not applicable,No,Never
648,More than 1000,1,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,0,1,"Yes, they all did","No, I only became aware later",None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
649,100-500,0,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Maybe,Somewhat open,No,Not applicable,Yes,Never
650,6-25,1,Not eligible for coverage / N/A,Not applicable,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,No,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Maybe,Neutral,No,Not applicable,No,Never
